Geography,Year,Sex,Stress Category,Prevalence,Coefficient of Variation,CV Flag,Standard Error,Standard Score,Alberta Prevalence
Z1,2012,BOTH,Not at all/not very/a bit stressful,76.88340000000001,4.452100000000001,1.0,3.2889000000000004,0.20992247490000002,76.192985296
Z1,2012,FEMALE,Extremely/quite a bit stressful,23.8916,14.2216,1.0,3.353,-0.682704453,26.180773062
Z1,2012,FEMALE,Not at all/not very/a bit stressful,76.1084,4.5661,1.0,3.353,0.682704453,73.819226938
Z1,2012,MALE,Extremely/quite a bit stressful,22.3327,23.8449,2.0,5.321600000000001,0.1486338574,21.541771451
Z1,2012,MALE,Not at all/not very/a bit stressful,77.66730000000001,7.105700000000001,1.0,5.321600000000001,-0.148633857,78.45822854900001
Z1,2013,BOTH,Extremely/quite a bit stressful,19.5782,15.2072,1.0,3.0096,-0.6117646090000001,21.419386529
Z1,2013,BOTH,Not at all/not very/a bit stressful,80.4218,3.9695000000000005,1.0,3.0096,0.6117646092000001,78.580613471
Z1,2013,FEMALE,Extremely/quite a bit stressful,21.426000000000002,19.5141,2.0,4.1725,-0.594661175,23.907216679
Z1,2013,FEMALE,Not at all/not very/a bit stressful,78.574,5.367100000000001,1.0,4.1725,0.5946611754,76.092783321
Z1,2013,MALE,Extremely/quite a bit stressful,17.7638,19.207100000000004,2.0,3.4495000000000005,-0.36621835,19.027069685
Z1,2013,MALE,Not at all/not very/a bit stressful,82.2362,4.515,1.0,3.4495000000000005,0.36621834960000005,80.972930315
Z1,2014,BOTH,Extremely/quite a bit stressful,22.110500000000002,10.2217,1.0,2.2439,-0.16097937,22.471765423
Z1,2014,BOTH,Not at all/not very/a bit stressful,77.88950000000001,2.9433000000000002,1.0,2.2439,0.1609793696,77.528234577
Z1,2014,FEMALE,Extremely/quite a bit stressful,18.1889,16.4037,1.0,2.9892000000000003,-1.1602508770000002,21.657060993
Z1,2014,FEMALE,Not at all/not very/a bit stressful,81.81110000000001,3.8319,1.0,2.9892000000000003,1.1602508767000002,78.34293900700001
Z1,2014,MALE,Extremely/quite a bit stressful,26.123900000000003,16.3187,1.0,4.2325,0.6724223223000001,23.277920428
Z1,2014,MALE,Not at all/not very/a bit stressful,73.8761,5.690600000000001,1.0,4.2325,-0.6724223220000001,76.722079572
Z2,2001,BOTH,Extremely/quite a bit stressful,26.110400000000002,4.2883000000000004,1.0,1.1267,0.025477833,26.081740029
Z2,2001,BOTH,Not at all/not very/a bit stressful,73.8896,1.6613,1.0,1.1267,-0.025477833,73.91825997100001
Z2,2001,FEMALE,Extremely/quite a bit stressful,26.709100000000003,5.711,1.0,1.5303,0.12297995020000001,26.520868863
Z2,2001,FEMALE,Not at all/not very/a bit stressful,73.29090000000001,2.2435,1.0,1.5303,-0.12297995,73.47913113700001
Z2,2001,MALE,Extremely/quite a bit stressful,25.5146,6.4255,1.0,1.6415000000000002,-0.078533075,25.643537945000002
Z2,2001,MALE,Not at all/not very/a bit stressful,74.48540000000001,2.3301000000000003,1.0,1.6415000000000002,0.0785330747,74.356462055
Z2,2003,BOTH,Extremely/quite a bit stressful,22.8427,5.3668000000000005,1.0,1.2222000000000002,-0.41306389200000004,23.347532728
Z2,2003,BOTH,Not at all/not very/a bit stressful,77.1573,1.6976,1.0,1.2222000000000002,0.41306389250000003,76.65246727200001
Z2,2003,FEMALE,Extremely/quite a bit stressful,25.255100000000002,6.6695,1.0,1.6736,0.5053031308,24.409467362
Z2,2003,FEMALE,Not at all/not very/a bit stressful,74.7449,2.3607000000000005,1.0,1.6736,-0.505303131,75.590532638
Z2,2003,MALE,Extremely/quite a bit stressful,20.498900000000003,8.4941,1.0,1.7464000000000002,-1.028808766,22.295685922000004
Z2,2003,MALE,Not at all/not very/a bit stressful,79.5011,2.3704,1.0,1.7464000000000002,1.0288087664,77.704314078
Z2,2005,BOTH,Extremely/quite a bit stressful,24.4871,5.1919,1.0,1.2790000000000001,1.6782825316,22.340503477000002
Z2,2005,BOTH,Not at all/not very/a bit stressful,75.5129,1.7691000000000001,1.0,1.2790000000000001,-1.678282532,77.65949652300002
Z2,2005,FEMALE,Extremely/quite a bit stressful,24.254700000000003,6.9501,1.0,1.6819000000000002,1.4944614900000002,21.741172553000002
Z2,2005,FEMALE,Not at all/not very/a bit stressful,75.7453,2.2839,1.0,1.6819000000000002,-1.4944614900000002,78.258827447
Z2,2005,MALE,Extremely/quite a bit stressful,24.7173,7.349100000000001,1.0,1.8433,0.9657264357,22.937111667000003
Z2,2005,MALE,Not at all/not very/a bit stressful,75.2827,2.6665,1.0,1.8433,-0.965726436,77.062888333
Z2,2007,BOTH,Extremely/quite a bit stressful,22.1168,6.9838000000000005,1.0,1.507,-0.23304364600000002,22.468017665
Z2,2007,BOTH,Not at all/not very/a bit stressful,77.88320000000002,2.0324,1.0,1.507,0.23304364640000003,77.531982335
Z2,2007,FEMALE,Extremely/quite a bit stressful,23.1204,10.443100000000001,1.0,2.3874000000000004,-0.10540326500000001,23.372070627
Z2,2007,FEMALE,Not at all/not very/a bit stressful,76.87960000000001,3.3429,1.0,2.3874000000000004,0.10540326480000001,76.62792937300001
Z2,2007,MALE,Extremely/quite a bit stressful,21.1185,10.5847,1.0,2.2007000000000003,-0.20805214200000002,21.576313517
Z2,2007,MALE,Not at all/not very/a bit stressful,78.88150000000002,2.9084000000000003,1.0,2.2007000000000003,0.20805214160000002,78.42368648300001
Z2,2008,BOTH,Extremely/quite a bit stressful,23.177000000000003,8.1167,1.0,1.8752,0.5405442292,22.163359798000002
Z2,2008,BOTH,Not at all/not very/a bit stressful,76.82300000000001,2.4606000000000003,1.0,1.8752,-0.540544229,77.83664020200001
Z2,2008,FEMALE,Extremely/quite a bit stressful,27.237800000000004,11.0819,1.0,3.0429,1.1269841814000001,23.808422941
Z2,2008,FEMALE,Not at all/not very/a bit stressful,72.7622,4.3317,1.0,3.0429,-1.126984181,76.19157705900001
Z2,2008,MALE,Extremely/quite a bit stressful,19.3026,11.0847,1.0,2.1294,-0.594274403,20.568069386
Z2,2008,MALE,Not at all/not very/a bit stressful,80.6974,2.7176,1.0,2.1294,0.5942744034,79.43193061400001
Z2,2009,BOTH,Extremely/quite a bit stressful,21.3458,9.0008,1.0,1.9204,-1.064884848,23.390891169
Z2,2009,BOTH,Not at all/not very/a bit stressful,78.6542,2.4864,1.0,1.9204,1.0648848484,76.60910883100001
Z2,2009,FEMALE,Extremely/quite a bit stressful,21.697100000000002,11.0482,1.0,2.3695000000000004,-1.047870208,24.180033806
Z2,2009,FEMALE,Not at all/not very/a bit stressful,78.30290000000001,3.0258,1.0,2.3695000000000004,1.0478702077,75.819966194
Z2,2009,MALE,Extremely/quite a bit stressful,21.0082,13.9239,1.0,2.9376,-0.552432746,22.631003755000002
Z2,2009,MALE,Not at all/not very/a bit stressful,78.99180000000001,3.8541000000000003,1.0,2.9376,0.552432746,77.368996245
Z2,2010,BOTH,Extremely/quite a bit stressful,20.934800000000003,9.2527,1.0,1.9316000000000002,-0.866654259,22.608847298
Z2,2010,BOTH,Not at all/not very/a bit stressful,79.0652,2.4678000000000004,1.0,1.9316000000000002,0.8666542588,77.39115270200001
Z2,2010,FEMALE,Extremely/quite a bit stressful,23.5262,11.700700000000001,1.0,2.7434000000000003,0.1252291529,23.182609348
Z2,2010,FEMALE,Not at all/not very/a bit stressful,76.47380000000001,3.6509,1.0,2.7434000000000003,-0.125229153,76.81739065200001
Z2,2010,MALE,Extremely/quite a bit stressful,18.4295,12.686800000000002,1.0,2.3359,-1.55326163,22.057841147
Z2,2010,MALE,Not at all/not very/a bit stressful,81.5705,2.9550000000000005,1.0,2.3359,1.5532616302,77.94215885300001
Z2,2011,BOTH,Extremely/quite a bit stressful,25.723200000000002,8.5571,1.0,2.208,0.564461317,24.476881622
Z2,2011,BOTH,Not at all/not very/a bit stressful,74.27680000000001,3.0708,1.0,2.208,-0.564461317,75.523118378
Z2,2011,FEMALE,Extremely/quite a bit stressful,28.851200000000002,11.199200000000001,1.0,3.2403000000000004,0.9814157423000001,25.671102996000002
Z2,2011,FEMALE,Not at all/not very/a bit stressful,71.14880000000001,4.6972000000000005,1.0,3.2403000000000004,-0.981415742,74.328897004
Z2,2011,MALE,Extremely/quite a bit stressful,22.684900000000003,11.933300000000001,1.0,2.6908000000000003,-0.235780124,23.319335074
Z2,2011,MALE,Not at all/not very/a bit stressful,77.31510000000002,3.5564,1.0,2.6908000000000003,0.23578012410000002,76.680664926
Z2,2012,BOTH,Extremely/quite a bit stressful,22.459400000000002,9.3542,1.0,2.0952,-0.6432042090000001,23.807014704
Z2,2012,BOTH,Not at all/not very/a bit stressful,77.5406,2.7223,1.0,2.0952,0.6432042086,76.192985296
Z2,2012,FEMALE,Extremely/quite a bit stressful,23.761000000000003,11.3284,1.0,2.7204,-0.8894906100000001,26.180773062
Z2,2012,FEMALE,Not at all/not very/a bit stressful,76.239,3.7708000000000004,1.0,2.7204,0.8894906101000001,73.819226938
Z2,2012,MALE,Extremely/quite a bit stressful,21.2067,14.8876,1.0,3.1556,-0.10618511300000001,21.541771451
Z2,2012,MALE,Not at all/not very/a bit stressful,78.7933,4.0791,1.0,3.1556,0.1061851134,78.45822854900001
Z2,2013,BOTH,Extremely/quite a bit stressful,21.4537,9.9106,1.0,2.1310000000000002,0.0161167832,21.419386529
Z2,2013,BOTH,Not at all/not very/a bit stressful,78.5463,2.7676000000000003,1.0,2.1310000000000002,-0.016116783,78.580613471
Z2,2013,FEMALE,Extremely/quite a bit stressful,23.9632,13.445400000000001,1.0,3.208,0.0174396536,23.907216679
