REF_DATE,GEO,Age group,Sex,UOM,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Current smoker, daily or occasional","Fruit and vegetable consumption, 5 times or more per day","Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Females,Number,245119.6,361820.0,15120.0,205420.0,600540.2,1230660.0,92959.8,826680.0,346540.2,946380.2,670560.2,33580.0,744379.8
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Males,Number,285659.8,479120.0,19380.0,259600.0,377640.2,1196000.0,48859.8,864680.2,294080.2,984200.2,717039.8,46860.0,715579.6
2015/2016,"Large urban population centres, Saskatchewan","Total, 12 years and over",Both sexes,Number,50039.8,84560.2,3600.0,44760.0,62340.0,213840.0,18160.0,145780.0,42119.8,162600.0,119540.0,7520.0,156979.8
2015/2016,"Large urban population centres, Saskatchewan","Total, 12 years and over",Males,Number,29179.8,52900.2,2520.0,26440.0,23460.0,110200.0,8660.0,76100.0,17999.8,87760.0,70160.0,4160.0,78860.0
2015/2016,"Large urban population, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Number,28980.0,27980.0,1200.0,15179.8,25900.2,85740.0,11840.2,64600.4,14839.8,69560.0,51820.2,2900.0,67240.0
2015/2016,"London, Ontario","Total, 12 years and over",Both sexes,Number,55760.0,73140.0,3420.0,45960.0,74940.0,237220.0,28120.2,157400.0,56500.0,176180.0,140900.0,10480.0,179340.0
2015/2016,"London, Ontario","Total, 12 years and over",Males,Number,30480.0,40720.0,2600.0,26240.0,29680.0,114540.0,10960.0,78940.0,27740.0,90160.0,73180.0,5740.0,87020.0
2015/2016,Manitoba,"Total, 12 years and over",Both sexes,Number,200425.25,224950.0,15250.0,143975.0,195149.75,692350.0,65625.0,467200.0,155075.0,524624.75,376549.75,33075.0,527225.25
2015/2016,Manitoba,"Total, 12 years and over",Females,Number,91075.25,91000.0,5775.0,65175.0,126999.75,349625.0,41900.0,242375.0,82650.0,259150.0,176499.75,14800.0,265925.0
2015/2016,Manitoba,"Total, 12 years and over",Males,Number,109000.25,133900.0,9275.0,79250.0,68099.75,342600.0,23525.0,224874.75,72175.0,265400.0,199824.75,18325.0,261400.25
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Both sexes,Number,68040.4,73840.0,4560.0,48560.0,59739.8,212500.0,20060.0,148740.0,52740.0,166380.0,128600.0,7219.8,157760.0
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Females,Number,27920.2,29560.0,2280.0,19660.0,34459.8,99680.0,11300.0,68880.0,25860.0,76860.0,55980.0,3419.8,77980.0
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Males,Number,40600.4,44720.0,2320.0,28920.0,25540.0,113560.0,8780.0,80240.0,27000.0,89460.0,72760.0,3880.0,79900.0
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Both sexes,Number,64180.2,83380.0,4960.0,41240.0,72280.0,233939.8,33320.4,154479.8,55040.0,173819.8,148660.0,12160.0,186140.2
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Females,Number,30240.2,35460.0,1920.0,18120.0,47000.0,122600.0,20780.2,75419.8,28840.0,88920.0,69859.8,3900.0,99320.2
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Males,Number,34300.2,47700.0,3080.0,23120.0,25520.0,110899.8,12620.2,79340.0,26240.0,84979.8,79440.2,8240.0,87140.0
2015/2016,"Medium population centres, New Brunswick","Total, 12 years and over",Both sexes,Number,22940.2,22720.0,1940.2,14800.0,20340.0,71340.0,8560.0,47340.0,15000.0,53640.0,40080.0,2460.0,53220.0
2015/2016,"Medium population centres, Ontario","Total, 12 years and over",Both sexes,Number,159520.4,172160.0,10360.0,124100.4,139919.8,501439.6,71160.4,332119.6,117180.0,378699.6,292620.0,22040.0,389060.2
2015/2016,"Medium population centres, Ontario","Total, 12 years and over",Females,Number,82080.4,71540.0,3060.0,54000.4,90219.8,247959.6,46720.4,162119.6,66940.0,185859.8,135160.0,8800.0,197420.2
2015/2016,"Medium population centres, Ontario","Total, 12 years and over",Males,Number,77800.0,100620.0,7400.4,70220.4,49939.8,253740.0,23840.2,170320.0,50580.0,192959.8,157860.0,13300.0,191400.2
2015/2016,"Medium population centres, Prince Edward Island","Total, 12 years and over",Both sexes,Number,5920.0,8580.0,420.0,3640.0,6880.0,22940.2,2560.0,15800.0,3599.8,17740.0,13220.0,580.0,16459.8
2015/2016,"Medium population centres, Prince Edward Island","Total, 12 years and over",Males,Number,2820.0,4520.0,260.0,1940.0,2960.0,10700.0,980.0,7260.0,1259.8,8260.0,6660.0,360.0,7479.8
2015/2016,"Medium population centres, Quebec","Total, 12 years and over",Both sexes,Number,81060.0,107680.0,4460.0,71360.2,129700.2,299720.0,24600.0,188299.6,83740.2,227359.8,147939.6,13360.0,189039.8
2015/2016,"Medium population centres, Quebec","Total, 12 years and over",Males,Number,41560.0,54080.0,2740.0,35860.0,46000.2,143120.0,5959.8,91439.8,31200.0,109320.0,81360.0,9700.4,89359.8
2015/2016,"Montréal, Quebec","Total, 12 years and over",Both sexes,Number,424219.8,651760.0,26560.0,377240.0,759920.2,1911180.0,113019.8,1324540.2,517400.2,1508980.2,1097900.2,66879.8,1160339.8
2015/2016,"Montréal, Quebec","Total, 12 years and over",Females,Number,194679.8,276880.0,11600.0,168520.0,458180.2,961100.0,76279.8,645180.0,277880.2,737800.0,526260.2,26259.8,590099.8
2015/2016,"Montréal, Quebec","Total, 12 years and over",Males,Number,230299.8,375220.0,15060.0,209480.0,302100.2,951160.0,36899.8,679040.2,238280.2,770780.0,571160.0,40620.0,570519.8
2015/2016,New Brunswick,"Total, 12 years and over",Both sexes,Number,160900.25,142725.0,9500.25,88075.0,120624.75,424950.0,49900.25,270924.75,89949.75,309324.75,218149.75,15149.75,329750.25
2015/2016,New Brunswick,"Total, 12 years and over",Females,Number,81225.25,63025.0,3975.0,43750.25,77824.75,218649.75,32800.25,138499.75,50149.75,157424.75,103699.75,6475.0,170825.0
2015/2016,New Brunswick,"Total, 12 years and over",Males,Number,79725.25,79600.0,5500.0,44350.0,42824.75,206175.0,17450.0,132724.75,39799.75,152024.75,114474.75,8650.0,159275.25
2015/2016,Newfoundland and Labrador,"Total, 12 years and over",Both sexes,Number,122600.25,95724.75,7250.25,74325.25,66899.75,303525.0,33425.25,212625.0,45599.75,234625.0,157449.75,11300.0,261225.25
2015/2016,Newfoundland and Labrador,"Total, 12 years and over",Females,Number,56200.25,48150.0,2650.0,34650.25,40349.75,156150.0,24050.25,111800.25,26524.75,118925.0,72174.75,5075.0,134150.25
2015/2016,Newfoundland and Labrador,"Total, 12 years and over",Males,Number,66650.25,47474.75,4625.25,39575.25,26374.75,147625.0,9600.0,100925.0,19074.75,115875.0,85049.75,6225.0,127275.25
2015/2016,Northwest Territories,"Total, 12 years and over",Both sexes,Number,8825.25,7375.0,575.25,8975.25,6249.75,23100.0,1750.0,14174.75,4674.75,17149.75,14450.0,950.0,20550.25
2015/2016,Northwest Territories,"Total, 12 years and over",Females,Number,4025.25,3150.0,275.0,4275.25,3674.75,11425.0,974.75,7375.0,2224.75,8199.75,7050.0,450.0,10625.25
2015/2016,Northwest Territories,"Total, 12 years and over",Males,Number,4775.25,4200.0,325.0,4700.25,2575.0,11650.0,775.0,6774.75,2450.0,8925.0,7375.0,525.0,9900.25
2015/2016,Nova Scotia,"Total, 12 years and over",Both sexes,Number,182850.25,187575.0,14025.25,117250.25,140574.75,538924.75,65975.25,360449.75,114224.75,401224.75,316175.0,22550.0,440600.25
2015/2016,Nova Scotia,"Total, 12 years and over",Females,Number,86800.25,89450.0,6950.25,53150.25,92899.75,281350.0,41900.25,193725.0,65349.75,207700.0,152825.0,10400.0,233625.25
2015/2016,Nova Scotia,"Total, 12 years and over",Males,Number,95425.25,98025.0,7150.0,64200.0,47649.75,257525.0,24350.25,167149.75,48849.75,193524.75,163250.0,12150.0,206875.25
2015/2016,Nunavut,"Total, 12 years and over",Both sexes,Number,4900.25,4599.75,750.0,12700.25,4525.0,17049.75,1275.0,9124.75,3174.75,10574.75,9750.0,549.75,17325.25
2015/2016,Nunavut,"Total, 12 years and over",Males,Number,2525.0,2800.0,500.0,6500.25,2275.0,8549.75,700.0,4624.75,1524.75,5549.75,5275.0,374.75,8825.25
2015/2016,Ontario,"Total, 12 years and over",Both sexes,Number,1991375.0,2676200.0,131800.0,1483924.75,2307424.75,7881250.0,776375.25,5434225.0,1951675.25,6093825.0,4634550.0,360475.0,6006750.25
2015/2016,Ontario,"Total, 12 years and over",Females,Number,946025.0,1174400.0,54625.0,626724.75,1435999.75,4055050.0,492725.0,2739725.0,1084050.0,3050925.0,2242850.0,145275.0,3131925.25
2015/2016,Ontario,"Total, 12 years and over",Males,Number,1046325.0,1500425.0,77250.0,860025.0,869099.75,3825325.0,284100.25,2694925.0,867650.0,3044100.0,2390025.0,214950.0,2873075.25
2015/2016,"Oshawa, Ontario","Total, 12 years and over",Both sexes,Number,58060.0,69300.0,3440.0,41020.0,59020.0,203100.0,31720.4,147600.0,55000.0,158660.0,128600.0,10440.0,150600.0
2015/2016,"Ottawa-Gatineau, Ontario part","Total, 12 years and over",Both sexes,Number,108000.0,158060.0,7160.0,76479.8,157660.2,468320.4,43100.0,340040.4,112240.0,359560.0,305360.4,21480.0,344720.0
2015/2016,"Ottawa-Gatineau, Ontario part","Total, 12 years and over",Males,Number,56560.0,96700.0,3660.0,44260.0,63200.0,229060.2,15200.0,165440.4,53000.0,180140.0,159700.4,11380.0,166480.0
2015/2016,"Ottawa-Gatineau, Ontario/Quebec","Total, 12 years and over",Both sexes,Number,184375.0,277275.0,11575.0,145975.0,280700.25,789150.25,67600.0,562150.25,198225.0,610000.0,497525.25,35100.0,543824.75
2015/2016,"Ottawa-Gatineau, Ontario/Quebec","Total, 12 years and over",Females,Number,85800.0,109975.0,5350.0,60600.0,169250.0,401400.0,43150.0,286900.25,109575.0,301700.0,238000.25,15675.0,277299.75
2015/2016,"Ottawa-Gatineau, Ontario/Quebec","Total, 12 years and over",Males,Number,98200.0,166675.25,6250.0,85325.0,110825.0,387850.0,24825.0,273300.0,87925.0,308425.0,259975.25,19450.0,267875.0
2015/2016,"Ottawa-Gatineau, Quebec part","Total, 12 years and over",Both sexes,Number,39020.0,63860.0,2080.0,40180.4,66600.2,162720.0,11039.8,109140.0,46400.2,128140.0,92260.0,6540.0,90499.6
2015/2016,"Ottawa-Gatineau, Quebec part","Total, 12 years and over",Males,Number,21960.0,36660.0,1440.0,23960.4,25060.2,80780.0,4700.0,53760.0,17540.0,66380.0,47880.0,4160.0,47759.8
2015/2016,Prince Edward Island,"Total, 12 years and over",Both sexes,Number,25500.25,32500.25,1575.0,14374.75,25925.0,86100.25,7100.0,57800.0,13649.75,67425.0,46074.75,3224.75,69025.25
2015/2016,Prince Edward Island,"Total, 12 years and over",Females,Number,12450.25,14875.25,625.0,6250.0,15774.75,44625.0,4400.0,31875.25,7074.75,35000.25,20999.75,1575.0,35925.25
2015/2016,Prince Edward Island,"Total, 12 years and over",Males,Number,13150.0,17650.0,975.0,8150.0,10175.0,41475.0,2725.0,25974.75,6549.75,32375.0,25025.0,1674.75,33125.25
2015/2016,Quebec,"Total, 12 years and over",Both sexes,Number,1152224.75,1718800.0,70174.75,978450.25,1968250.25,4862900.25,296274.75,3322850.25,1254425.25,3863400.25,2688324.75,169224.75,3023274.75
2015/2016,Quebec,"Total, 12 years and over",Females,Number,537399.75,739200.0,28525.0,445850.25,1207750.25,2451300.25,196599.75,1627550.0,694550.25,1898575.25,1253324.75,68599.75,1514974.75
2015/2016,Quebec,"Total, 12 years and over",Males,Number,615524.75,978650.0,41550.0,533475.0,761525.25,2411375.25,99599.75,1696100.25,558950.25,1966375.25,1437099.75,100425.0,1508449.75
2015/2016,"Québec, Quebec","Total, 12 years and over",Both sexes,Number,79459.6,138660.0,5880.0,62499.6,161320.2,393480.4,16119.6,288980.4,94460.0,323660.4,214020.0,12460.0,224039.6
2015/2016,"Québec, Quebec","Total, 12 years and over",Females,Number,35239.6,61620.0,2820.0,30299.8,103160.2,204700.4,11359.6,142000.4,50340.0,162720.4,100700.0,7020.0,116819.8
2015/2016,"Québec, Quebec","Total, 12 years and over",Males,Number,44440.0,76860.0,3100.0,32039.6,57840.2,188600.4,4879.6,146520.4,44340.0,160760.4,112840.0,5399.8,106619.8
2015/2016,"Regina, Saskatchewan","Total, 12 years and over",Both sexes,Number,28660.0,42820.2,1720.0,22740.0,30880.0,108660.0,10120.0,68600.0,20859.8,80480.0,58240.0,3580.0,83840.2
2015/2016,"Regina, Saskatchewan","Total, 12 years and over",Males,Number,15200.0,27420.2,1620.0,13060.0,10099.8,55760.0,4920.0,34760.0,9300.0,42180.0,32760.0,2360.0,41560.0
2015/2016,"Rural areas, Alberta","Total, 12 years and over",Both sexes,Number,76780.2,95120.0,6180.0,61860.2,84620.0,276000.4,24820.0,193000.2,55299.6,222620.2,157520.0,17240.0,213920.4
2015/2016,"Rural areas, Alberta","Total, 12 years and over",Females,Number,34920.2,39660.0,1679.8,25460.0,56580.0,138340.4,16920.0,98160.2,27799.8,111080.4,74400.0,8380.0,108160.4
2015/2016,"Rural areas, Alberta","Total, 12 years and over",Males,Number,41820.0,55560.0,4540.0,36300.2,28240.0,138360.2,8180.0,95200.0,27440.0,111260.0,83000.0,8780.0,105460.2
2015/2016,"Rural areas, British Columbia","Total, 12 years and over",Both sexes,Number,71120.2,96620.0,6800.0,50360.0,95020.0,273540.0,26860.0,185220.0,61720.0,215340.2,178180.2,12800.0,215720.2
2015/2016,"Rural areas, British Columbia","Total, 12 years and over",Females,Number,32300.2,38060.0,3800.0,21540.2,54920.0,132220.0,18600.0,92080.0,35340.0,103260.0,84600.2,6040.0,109000.2
2015/2016,"Rural areas, British Columbia","Total, 12 years and over",Males,Number,38660.2,58960.0,3160.0,28760.0,40300.2,140920.4,8300.0,93160.0,26740.0,111900.2,93720.2,6760.0,106460.0
2015/2016,"Rural areas, Manitoba","Total, 12 years and over",Both sexes,Number,43040.4,40360.0,3140.0,21099.8,35760.0,123740.4,8759.6,83400.0,25279.8,95620.0,64259.8,7860.0,98720.4
2015/2016,"Rural areas, Manitoba","Total, 12 years and over",Males,Number,24680.4,23480.0,2440.0,11199.6,13320.0,63240.0,3780.0,42000.0,13760.0,49200.0,36180.0,4520.0,50980.4
2015/2016,"Rural areas, New Brunswick","Total, 12 years and over",Both sexes,Number,62520.2,56060.0,3740.0,33080.0,46640.0,160440.0,17620.0,100919.8,33799.8,113819.8,80239.8,6580.0,130080.2
2015/2016,"Rural areas, New Brunswick","Total, 12 years and over",Females,Number,30680.2,24800.0,1660.0,15480.0,31800.0,82180.0,9920.0,52520.0,17919.8,59520.0,38379.8,2900.0,67500.2
2015/2016,"Rural areas, New Brunswick","Total, 12 years and over",Males,Number,31860.2,31080.0,2140.0,17800.0,14799.8,78120.0,7900.2,48459.8,16000.0,54359.8,41799.8,3660.0,62460.2
2015/2016,"Rural areas, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Number,40340.2,28899.8,2000.0,26060.2,16199.6,93340.0,7119.8,62160.0,11579.8,69019.8,43339.6,3280.0,85280.4
2015/2016,"Rural areas, Newfoundland and Labrador","Total, 12 years and over",Females,Number,17460.2,14560.0,640.0,11260.2,9659.6,46960.0,4999.8,32080.0,7359.8,34440.0,18459.8,1440.0,42680.4
2015/2016,"Rural areas, Newfoundland and Labrador","Total, 12 years and over",Males,Number,23000.2,14399.8,1420.0,14700.2,6519.8,46460.0,2159.8,30040.0,4179.8,34619.8,24939.8,1860.0,42820.4
2015/2016,"Rural areas, Northwest Territories","Total, 12 years and over",Both sexes,Number,2160.2,2580.2,300.2,3660.2,1339.8,6360.0,399.8,3259.6,979.8,4439.8,3860.0,360.0,6160.2
2015/2016,"Rural areas, Nova Scotia","Total, 12 years and over",Both sexes,Number,63540.2,61980.0,4660.0,37580.0,49279.8,178380.0,17539.8,116479.8,36239.8,132579.8,99639.8,7960.0,149940.2
2015/2016,"Rural areas, Nova Scotia","Total, 12 years and over",Females,Number,32080.2,30240.0,2040.0,17820.0,32719.8,96680.0,11620.0,65920.0,21319.8,71140.0,49620.0,3360.0,81800.2
2015/2016,"Rural areas, Nova Scotia","Total, 12 years and over",Males,Number,31480.2,31720.0,2680.0,19980.0,16459.8,81540.0,5960.0,50659.8,15079.8,61899.8,49920.0,4600.0,68240.2
2015/2016,"Rural areas, Ontario","Total, 12 years and over",Both sexes,Number,248960.4,303580.2,18080.0,175400.2,253719.8,851200.2,80260.0,593000.0,204740.0,650620.0,489680.0,44180.0,673160.4
2015/2016,"Rural areas, Ontario","Total, 12 years and over",Females,Number,113940.4,137460.4,6860.0,76480.2,159399.8,432520.0,53760.0,299860.2,109760.0,323740.0,223660.0,18920.0,344720.4
2015/2016,"Rural areas, Ontario","Total, 12 years and over",Males,Number,135060.4,165720.0,11300.0,99240.0,94719.8,418740.0,26700.0,291260.0,94800.0,326120.0,266020.0,25280.0,327900.4
2015/2016,"Rural areas, Prince Edward Island","Total, 12 years and over",Both sexes,Number,11440.2,13360.0,740.0,5559.8,11100.0,35400.0,2199.8,24520.0,5499.8,28160.0,17859.8,1459.8,30040.2
2015/2016,"Rural areas, Prince Edward Island","Total, 12 years and over",Males,Number,6180.2,7240.0,420.0,3320.0,4320.0,17360.0,799.8,10959.8,3280.0,13740.0,10100.0,779.8,14940.2
2015/2016,"Rural areas, Quebec","Total, 12 years and over",Both sexes,Number,193140.2,275640.2,9580.0,155100.2,295780.2,737100.4,43179.8,499260.0,176260.0,591720.2,391619.8,23579.8,466419.8
