REF_DATE,GEO,Age group,Sex,UOM,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Current smoker, daily or occasional","Fruit and vegetable consumption, 5 times or more per day","Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
2015/2016,"Small population centres, Nova Scotia","Total, 12 years and over",Males,Number,16820.2,16980.0,1420.2,11040.0,6499.8,41899.8,4900.2,26519.8,8100.0,31019.8,26360.0,1940.0,33840.0
2015/2016,"Small population centres, Ontario","Total, 12 years and over",Both sexes,Number,187900.4,196480.0,10700.0,124080.4,159499.8,562760.0,56140.0,374559.8,130660.0,434880.0,329380.0,29860.2,454680.4
2015/2016,"Small population centres, Ontario","Total, 12 years and over",Females,Number,88180.4,90800.2,4220.0,60180.4,101799.8,290000.0,37520.0,189340.0,71060.0,214980.0,160360.0,14900.4,233780.2
2015/2016,"Small population centres, Ontario","Total, 12 years and over",Males,Number,100040.4,105720.0,6680.0,64660.0,58199.8,272520.0,18540.0,185140.0,59680.0,219200.0,169740.0,15060.0,220580.4
2015/2016,"Small population centres, Quebec","Total, 12 years and over",Both sexes,Number,116400.2,152360.0,7840.0,92620.2,171880.2,428900.0,28219.8,282579.8,102440.0,341900.2,225739.8,18180.0,305660.2
2015/2016,"Small population centres, Quebec","Total, 12 years and over",Females,Number,54840.2,66920.0,3180.0,43780.2,102680.2,212640.0,16939.8,135900.0,56920.0,167720.2,98239.6,8280.0,151580.2
2015/2016,"Small population centres, Quebec","Total, 12 years and over",Males,Number,62060.2,85180.0,4740.0,48600.0,69300.2,216280.0,11500.0,146320.0,45600.0,174200.0,127520.0,9900.0,153760.2
2015/2016,"Small population centres, Saskatchewan","Total, 12 years and over",Both sexes,Number,38180.2,40120.0,2600.0,24140.0,32240.0,111300.0,12240.0,69819.8,22999.8,81420.0,58139.8,3980.0,89780.2
2015/2016,"Small population centres, Saskatchewan","Total, 12 years and over",Females,Number,18800.2,17580.0,1160.0,10140.0,20100.0,56320.0,8100.0,35320.0,10899.8,39520.0,27520.0,1920.0,46980.2
2015/2016,"Small population centres, Saskatchewan","Total, 12 years and over",Males,Number,19440.2,22300.0,1460.0,14000.0,11960.0,55040.0,4180.0,34520.0,12160.0,42020.0,30400.0,2119.6,42800.2
